epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.838,1.68745,1.66142,0.98691,0.31174,0.25965,0.20365,0.11257,1.54808,1.24952,0.93486,0.000237706,0.000237706,0.000237706
2,208.311,1.62534,1.27028,0.94543,0.34991,0.28139,0.23193,0.12894,1.50948,1.17645,0.92265,0.000466287,0.000466287,0.000466287
3,309.847,1.60462,1.22838,0.938,0.37189,0.28364,0.24431,0.13421,1.51475,1.14939,0.9235,0.000685443,0.000685443,0.000685443
4,410.973,1.57327,1.18845,0.93007,0.40249,0.29896,0.26948,0.15031,1.46656,1.10379,0.91376,0.000671588,0.000671588,0.000671588
5,511.556,1.55123,1.15611,0.9257,0.41341,0.3151,0.28069,0.15721,1.44865,1.07089,0.90541,0.000657451,0.000657451,0.000657451
6,612.449,1.54262,1.134,0.91998,0.42093,0.30947,0.27981,0.15632,1.44943,1.07478,0.90679,0.000643314,0.000643314,0.000643314
7,714.622,1.51564,1.11296,0.91516,0.42671,0.31445,0.2871,0.16017,1.4608,1.06645,0.90816,0.000629177,0.000629177,0.000629177
8,815.099,1.49979,1.08609,0.91301,0.41599,0.33771,0.30401,0.17158,1.42216,1.04327,0.89865,0.00061504,0.00061504,0.00061504
9,915.953,1.50478,1.0761,0.9082,0.43302,0.32092,0.29761,0.17003,1.41282,1.04049,0.89814,0.000600902,0.000600902,0.000600902
10,1017.41,1.4985,1.06708,0.9086,0.40219,0.32339,0.28995,0.16471,1.40718,1.04485,0.8976,0.000586765,0.000586765,0.000586765
11,1118.27,1.48676,1.05825,0.90622,0.43768,0.3272,0.30604,0.17292,1.40395,1.02991,0.897,0.000572628,0.000572628,0.000572628
12,1219.05,1.46885,1.04208,0.90425,0.43932,0.34517,0.31846,0.17891,1.40095,1.02017,0.89316,0.000558491,0.000558491,0.000558491
13,1320.39,1.46172,1.03043,0.90374,0.43924,0.34495,0.32005,0.18159,1.39009,1.00854,0.89216,0.000544354,0.000544354,0.000544354
14,1421.44,1.46438,1.02185,0.89949,0.47581,0.34865,0.33683,0.1907,1.38751,0.98312,0.88906,0.000530216,0.000530216,0.000530216
15,1522.08,1.46001,1.01517,0.89807,0.45189,0.35075,0.33259,0.18864,1.3881,0.99543,0.88998,0.000516079,0.000516079,0.000516079
16,1621.99,1.4546,1.01188,0.89767,0.46442,0.36072,0.34045,0.19251,1.37429,0.978,0.88915,0.000501942,0.000501942,0.000501942
17,1722.76,1.44923,1.00054,0.89609,0.45848,0.35143,0.3353,0.1903,1.37789,0.98269,0.88979,0.000487805,0.000487805,0.000487805
18,1823.67,1.43747,0.99026,0.89243,0.46715,0.35691,0.34039,0.19417,1.36986,0.97758,0.8856,0.000473668,0.000473668,0.000473668
19,1924.62,1.43233,0.98329,0.89221,0.47933,0.35746,0.3438,0.19546,1.36889,0.97056,0.88722,0.00045953,0.00045953,0.00045953
20,2024.88,1.43447,0.97818,0.89032,0.47826,0.36082,0.34841,0.19738,1.36088,0.96343,0.88544,0.000445393,0.000445393,0.000445393
21,2126.19,1.42578,0.97382,0.88925,0.48629,0.36305,0.35232,0.20063,1.3609,0.95938,0.88494,0.000431256,0.000431256,0.000431256
22,2226.11,1.41651,0.95644,0.8875,0.46897,0.37266,0.3532,0.20087,1.35614,0.95458,0.88465,0.000417119,0.000417119,0.000417119
