epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.763,3.94435,3.91462,2.81709,0.03224,0.07156,0.01327,0.00417,3.02707,3.12058,2.19575,0.00166538,0.00166538,0.0683578
2,378.01,2.82862,2.92647,1.9718,0.07792,0.12071,0.04639,0.01938,2.49267,2.49024,1.74954,0.00326607,0.00326607,0.0366251
3,621.72,2.47312,2.51181,1.7108,0.31727,0.12593,0.06971,0.03362,2.21109,2.20905,1.56954,0.00480076,0.00480076,0.0048265
4,805.09,2.24721,2.25796,1.57209,0.30046,0.16213,0.10301,0.04904,2.03344,1.96177,1.46788,0.004703,0.004703,0.004703
5,985.995,2.115,2.09007,1.48538,0.22257,0.18971,0.12792,0.06139,1.92663,1.81569,1.40235,0.004604,0.004604,0.004604
6,1172.33,2.03082,1.9609,1.42762,0.22789,0.20047,0.13698,0.06874,1.86676,1.73886,1.3683,0.004505,0.004505,0.004505
7,1452.65,1.96193,1.86647,1.39224,0.25124,0.221,0.15863,0.08038,1.81937,1.64489,1.33976,0.004406,0.004406,0.004406
8,1633.46,1.91869,1.80657,1.36899,0.26532,0.21748,0.16774,0.08628,1.78285,1.60776,1.32167,0.004307,0.004307,0.004307
9,1816.33,1.88425,1.75516,1.35339,0.29249,0.24116,0.1866,0.0964,1.74077,1.55963,1.30211,0.004208,0.004208,0.004208
10,1995.45,1.84449,1.69647,1.33274,0.2777,0.24523,0.19098,0.09883,1.72072,1.52405,1.29015,0.004109,0.004109,0.004109
11,2175.64,1.82151,1.65611,1.3211,0.299,0.25081,0.19878,0.10477,1.68717,1.49133,1.27274,0.00401,0.00401,0.00401
12,2671.42,1.80407,1.63465,1.3066,0.32093,0.26506,0.21682,0.11364,1.67072,1.44635,1.26903,0.003911,0.003911,0.003911
13,2852.45,1.77808,1.59311,1.29625,0.31833,0.27586,0.21541,0.11489,1.66893,1.45928,1.26302,0.003812,0.003812,0.003812
14,3032.19,1.76819,1.56802,1.28899,0.35475,0.26653,0.22706,0.12259,1.64391,1.42065,1.24861,0.003713,0.003713,0.003713
15,4087.63,1.74689,1.54015,1.27618,0.34046,0.28913,0.23656,0.12637,1.62337,1.39287,1.23939,0.003614,0.003614,0.003614
16,4268.03,1.73612,1.52035,1.27493,0.34326,0.28282,0.236,0.12594,1.62352,1.3773,1.23687,0.003515,0.003515,0.003515
17,4637.62,1.7326,1.50319,1.26487,0.35017,0.29055,0.24367,0.13167,1.60506,1.36269,1.23127,0.003416,0.003416,0.003416
